"WMA","Cutoff_Date"
"100",1869.24595669126
"102",1988.02754510806
"103",1915
"110",1939.07420096645
"114",1882.3689273396
"123",1899.61039230315
"124",1863.10317035457
"13",1890.48593165166
"144",1983
"181",1918
"193",1870
"2",1908.57034369038
"220",1906.38680656492
"222",1855.58885754777
"227",1965.29290949459
"228",1857.29370371058
"234",1883
"238",1902.08919963684
"239",1864.85662064577
"25",1901.30912635732
"254",1957.91478163763
"259",1903
"260",1971.3776584502
"261",1938.78152547069
"27",1900
"271",1887.76806536554
"276",1878.24690332006
"28",1874
"285",1863
"287",1870
"291",1872.44881793614
"295",1895.65537673698
"298",1879.24180748688
"299",1896.79440242003
"303",1882
"309",1951.53128500399
"31",1890.33973775808
"315",1883.69977844427
"320",1888
"321",1872.28397436476
"322",1896.3149928441
"324",1857.10296392275
"325",1899
"326",1883
"340",1969
"348",1866.98034076204
"349",1933.93711219537
"351",1800.00168822412
"353",1871
"357",1874.51270731704
"361",1862.98484932325
"362",1973
"366",1915.01845020268
"370",1888
"371",1926.09866730785
"372",1888.92950041026
"380",1967.42984626481
"382",1950
"384",1909
"385",1882
"386",1895.4394448607
"387",1920
"391",1904.84861927575
"393",1897.12324219501
"397",1929.52124685723
"398",1927.06283342137
"410",1906.83303359551
"411",1900
"413",1944.50833287784
"42",1964.60570650978
"426",1862.70890990402
"427",1894.01776532085
"428",1874.1453185357
"429",1894.47407225081
"431",1904.71529046419
"433",1923.70245545966
"434",1881.89733755288
"436",1905.3082931259
"437",1927.93828548054
"438",1912.71842032861
"439",1921.07260980363
"440",1876.78268925091
"441",1901.93228636633
"442",1904.78871148554
"443",1881.09527297782
"447",1916.2636082278
"449",1921
"451",1845.46077507655
"454",1873.38634767002
"458",1886.42818475193
"459",1875.97817109092
"462",1879.28586397213
"464",1991
"470",1934
"475",1889.79215288228
"476",1905.38445153746
"484",1894.55615130402
"485",1879.6727733328
"486",1895.36286520114
"488",1891.76061460338
"489",1881.9192514209
"490",1879.71592102643
"496",1888.63081166313
"498",1879.37573626942
"499",1885
"500",1936.75160657167
"502",1884.12590729322
"503",1889
"504",1884.23626839615
"506",1885.05746030398
"507",1892.41864037753
"508",1881.5057107508
"513",1918.5915853827
"514",1890.17849815513
"515",2003.97155542802
"516",1904.52703970667
"517",1899.16054318359
"519",1868
"521",1900.41662415769
"523",1886
"524",1800
"527",1892.12239055357
"53",1915.57756461976
"531",1896.56627969471
"532",1873.95252351856
"534",1883.53069465071
"540",1890.26452746935
"544",1963.88731153986
"546",1800.37255681736
"547",1913.21116907233
"548",1993.12989236941
"550",1813.59504284662
"551",1948
"552",1938.03676944338
"554",1966.51227099626
"556",1969.61792717827
"558",1973.74915732021
"561",1945.43941005339
"563",1935.74936922718
"564",1956.17834633691
